Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,NEUZA MARIA NAZATTO DE CARVALHO PROFA,35045512,SP,Santa Bárbara d'Oeste,Urbana,A escola não está em área de localização diferenciada,Pública,"OURO, 1174 RUA. VILA MOLLON IV. 13456-447 Santa Bárbara d'Oeste - SP.",(19) 34588080,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",Atendimento Educacional Especializado,-22.7575495,-47.3646797
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ROBERTO RODRIGUES DE AZEVEDO PASTOR,35045524,SP,Hortolândia,Urbana,A escola não está em área de localização diferenciada,Pública,"TIBURTINO RODRIGUES NASCIMENTO, SN RUA. CHACARAS FAZENDA COELHO. 13185-498 Hortolândia - SP.",(19) 38871818,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-22.89517312,-47.16754256
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIA DE LOURDES MARTINS PROFESSORA,35045536,SP,Sumaré,Urbana,A escola não está em área de localização diferenciada,Pública,"OSVALDO VACARI, 777 RUA. JARDIM MARIA ANTONIA. 13178-374 Sumaré - SP.",(19) 38642081,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-22.8072554,-47.1958829
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ELYSABETH DE MELLO RODRIGUES PROFESSORA,35045548,SP,Sumaré,Urbana,A escola não está em área de localização diferenciada,Pública,"PRESIDENTE PRUDENTE DE MORAES, 1 RUA. PARQUE EUCLIDES MIRANDA. 13174-526 Sumaré - SP.",(19) 38733382,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-22.8174502,-47.254808
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIANINA DE ROSIS MORAES PROFESSORA,35045561,SP,Sumaré,Urbana,A escola não está em área de localização diferenciada,Pública,"NOSSA SENHORA APARECIDA, 279 RUA. PARQUE FLORELY. 13178-222 Sumaré - SP.",(19) 38642005,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-22.7976309,-47.2047969
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JENY BONADIA RODRIGUES SANTARROSSA PROFESSORA,35045573,SP,Sumaré,Urbana,A escola não está em área de localização diferenciada,Pública,"MARIA CONCEICAO DA ROCHA FERRAZ, 409 RUA. JARDIM BOM RETIRO. 13181-656 Sumaré - SP.",(19) 38641320,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-22.8494727,-47.1875631
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MANUEL ALBALADEJO FERNANDES,35045585,SP,Sumaré,Urbana,A escola não está em área de localização diferenciada,Pública,"MINASA, 1320 AVENIDA. VILA SAN MARTIN. 13180-400 Sumaré - SP.",(19) 38642080,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.8370856,-47.1587357
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOAO ALVARENGA PROF,35045615,SP,Pedreira,Urbana,A escola não está em área de localização diferenciada,Pública,"JOAO NIERO, 744 AVENIDA. JARDIM ANDRADE. 13922-112 Pedreira - SP.",(19) 38932941,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio","Atendimento Educacional Especializado, Atividade Complementar",-22.73941595,-46.88253555
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,JOSE MANOEL ALVARES ROSENDE PROFESSOR,35045627,SP,Bom Jesus dos Perdões,Urbana,A escola não está em área de localização diferenciada,Pública,"CARMINE PUGLIESI, SN RUA. JARDIM PORTUGAL. 12955-000 Bom Jesus dos Perdões - SP.",(11) 40127476,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",Atendimento Educacional Especializado,-23.1461333,-46.4703833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ISRAEL SCHOBA PROFESSOR,35045640,SP,Vinhedo,Urbana,A escola não está em área de localização diferenciada,Pública,"GUIDO CINCI, SN SANTA CLAUDINA. 13284-416 Vinhedo - SP.",(19) 38761384,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-23.01215553,-46.98625431
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PEDRO SALVETTI NETTO PROFESSOR,35045664,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Pública,"PADRE EUSTAQUIO, SN RUA. JARDIM CAPIVARI. 13050-802 Campinas - SP.",(19) 32231726,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-22.94981117,-47.10961854
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ORLANDO SIGNORELLI,35045676,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Pública,"NELSON BARBOSA DA SILVA, SN RUA. DIC VI. 13054-632 Campinas - SP.",(19) 32668077,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-22.9779048,-47.1319408
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,PAULO MANGABEIRA ALBERNAZ PROF DOUTOR,35045697,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Pública,"JAIR JORGE BOSCO, 15 RUA. JARDIM APARECIDA. 13068-605 Campinas - SP.",(19) 32811979,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-22.85299419,-47.16154598
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MIGUEL VICENTE CURY,35045718,SP,Campinas,Urbana,A escola não está em área de localização diferenciada,Pública,"SAO CIRILO, 354 RUA. CONJUNTO HABITACIONAL PADRE ANCHIETA. 13068-413 Campinas - SP.",(19) 32811361,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atividade Complementar,-22.8677223,-47.1515766
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,SAO NICOLAU DE FLUE,35045724,SP,Indaiatuba,Urbana,A escola não está em área de localização diferenciada,Pública,"ALAMEDA ANTONIO AMBIEL, SN HELVETIA. 13337-315 Indaiatuba - SP.",(19) 38752459,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-23.0537616,-47.149098
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,WILLIAM SILVA PROFESSOR,35045810,SP,Limeira,Urbana,A escola não está em área de localização diferenciada,Pública,"DARIO ROLAND, 234 RUA. PARQUE NOVO MUNDO. 13481-385 Limeira - SP.",(19) 34957186,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-22.5980229,-47.3990871
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIA DE SANTO INOCENCIO LIMA IRMA,35045822,SP,Limeira,Urbana,A escola não está em área de localização diferenciada,Pública,"ANTONIO JORGE LOUREIRO, 303 RUA. JARDIM OURO VERDE. 13482-052 Limeira - SP.",(19) 994318421,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-22.5846594,-47.4180306
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,LIDIA ONELIA KALIL AUN CREPALDI PROFESSORA,35045834,SP,Cosmópolis,Urbana,A escola não está em área de localização diferenciada,Pública,"DR ADEMAR PEREIRA DE BARROS, 418 JARDIM SANTA ROSA. 13152-128 Cosmópolis - SP.",(19) 38725539,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-22.6391208,-47.1841395
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,MARIA DE LOURDES SILVEIRA COSENTINO PROFESSORA,35045861,SP,Piracicaba,Urbana,A escola não está em área de localização diferenciada,Pública,"ALTINO ARANTES, 203 RUA. VILA SONIA. 13408-029 Piracicaba - SP.",(19) 34251477,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-22.6688529,-47.6956383
